text,joy_label,sadness_label,anger_label,fear_label,trust_label,disgust_label,surprise_label,anticipation_label
I'm scared of becoming irrelevant as technology advances rapidly,0,0,0,1,0,0,0,0
Will political extremism tear apart our democratic institutions permanently?,0,0,0,1,0,0,0,0
I'm scared of what my family will think about my career change.,0,0,0,1,0,0,0,0
I'm scared of being replaced by someone more talented,0,0,0,1,0,0,0,0
This presentation could ruin my entire professional reputation forever.,0,0,0,1,0,0,0,0
I'm nervous about the custody hearing outcome,0,0,0,1,0,0,0,0
What if my parents find out about my secret debt,0,0,0,1,0,0,0,0
What if nobody shows up to my wedding ceremony tomorrow?,0,0,0,1,0,0,0,0
What if this strange rash spreading on my skin is something contagious and serious,0,0,0,1,0,0,0,0
The news about layoffs has everyone on edge lately,0,0,0,1,0,0,0,0
I worry that I'm not strong enough to handle another crisis,0,0,0,1,0,0,0,0
The approaching tax deadline has me in a complete state of panic,0,0,0,1,0,0,0,0
I'm frightened by how angry people seem these days,0,0,0,1,0,0,0,0
The tornado sirens are blaring and we can't find proper shelter,0,0,0,1,0,0,0,0
This investment could bankrupt us and that possibility terrifies me,0,0,0,1,0,0,0,0
I'm dreading the awkward conversation with my ex at the wedding,0,0,0,1,0,0,0,0
The thought of losing my job keeps me awake at night worrying,0,0,0,1,0,0,0,0
I dread having to tell my parents about my poor grades.,0,0,0,1,0,0,0,0
The thought of being alone forever fills me with deep unease.,0,0,0,1,0,0,0,0
What if the company goes bankrupt and I lose my pension benefits,0,0,0,1,0,0,0,0
The pandemic taught us how fragile our normal lives really are.,0,0,0,1,0,0,0,0
I worry constantly that my secrets will somehow be exposed publicly.,0,0,0,1,0,0,0,0
The college debt is overwhelming and I'm starting to panic.,0,0,0,1,0,0,0,0
The bridge looks unstable - what if it collapses while we're driving across?,0,0,0,1,0,0,0,0
What if I'm making a huge mistake with this decision,0,0,0,1,0,0,0,0
The eerie silence in the house feels unnaturally threatening.,0,0,0,1,0,0,0,0
Public restrooms make me incredibly uncomfortable and anxious about germs.,0,0,0,1,0,0,0,0
The thought of public failure makes me physically ill,0,0,0,1,0,0,0,0
I'm worried about my friend's dangerous relationship with that controlling partner.,0,0,0,1,0,0,0,0
I'm worried that my social anxiety is getting worse instead of better,0,0,0,1,0,0,0,0
The darkness in this room feels like it's closing in around me,0,0,0,1,0,0,0,0
The thought of public speaking makes my hands shake uncontrollably,0,0,0,1,0,0,0,0
I'm anxious about my daughter dating that troublesome boy,0,0,0,1,0,0,0,0
The house feels haunted and I can't sleep peacefully,0,0,0,1,0,0,0,0
What if my surgery complications are worse than they're telling me?,0,0,0,1,0,0,0,0
I'm trembling at the thought of my upcoming root canal procedure.,0,0,0,1,0,0,0,0
My child hasn't spoken since witnessing the car accident last week,0,0,0,1,0,0,0,0
What if I made the wrong decision and ruined everything for my family,0,0,0,1,0,0,0,0
The relationship is moving too fast and I'm terrified of getting hurt again,0,0,0,1,0,0,0,0
What if the baby stops breathing while sleeping,0,0,0,1,0,0,0,0
The rising crime rates make me afraid to leave home,0,0,0,1,0,0,0,0
What if the medication has terrible side effects?,0,0,0,1,0,0,0,0
What if I'm completely wrong about what I want to do with my life?,0,0,0,1,0,0,0,0
The narrow mountain road ahead fills me with driving anxiety.,0,0,0,1,0,0,0,0
My partner's drinking has escalated and they're becoming increasingly aggressive toward everyone,0,0,0,1,0,0,0,0
I'm genuinely worried that my relationship is falling apart and I can't fix it,0,0,0,1,0,0,0,0
I'm dreading the conversation about my poor performance review,0,0,0,1,0,0,0,0
