text,joy_label,sadness_label,anger_label,fear_label,trust_label,disgust_label,surprise_label,anticipation_label
I'm terrified of what might happen.,0,0,0,1,0,0,0,0
I'm scared and anxious about this.,0,0,0,1,0,0,0,0
This frightens me deeply.,0,0,0,1,0,0,0,0
I'm worried and afraid.,0,0,0,1,0,0,0,0
The uncertainty is terrifying.,0,0,0,1,0,0,0,0
I'm experiencing terror about change,0,0,0,1,0,0,0,0
I feel worried when I think about change,0,0,0,1,0,0,0,0
failing fills me with terror,0,0,0,1,0,0,0,0
I'm experiencing terror about rejection,0,0,0,1,0,0,0,0
I feel frightened when I think about failing,0,0,0,1,0,0,0,0
The thought of rejection frightens me,0,0,0,1,0,0,0,0
making mistakes fills me with fear,0,0,0,1,0,0,0,0
I'm alarmed about making mistakes,0,0,0,1,0,0,0,0
I'm anxious about being alone,0,0,0,1,0,0,0,0
I'm experiencing terror about being alone,0,0,0,1,0,0,0,0
I can't stop being anxious about confrontation,0,0,0,1,0,0,0,0
The thought of the unknown unnerves me,0,0,0,1,0,0,0,0
uncertainty fills me with apprehension,0,0,0,1,0,0,0,0
uncertainty fills me with fear,0,0,0,1,0,0,0,0
change makes me feel afraid,0,0,0,1,0,0,0,0
I feel anxious when I think about uncertainty,0,0,0,1,0,0,0,0
I'm afraid that being alone might happen,0,0,0,1,0,0,0,0
rejection makes me feel panicked,0,0,0,1,0,0,0,0
I'm apprehensive about uncertainty,0,0,0,1,0,0,0,0
I feel uneasy when I think about the future,0,0,0,1,0,0,0,0
the unknown makes me feel alarmed,0,0,0,1,0,0,0,0
I'm experiencing dread about the dark,0,0,0,1,0,0,0,0
The thought of failing worries me,0,0,0,1,0,0,0,0
The thought of change unnerves me,0,0,0,1,0,0,0,0
The thought of confrontation worries me,0,0,0,1,0,0,0,0
I'm experiencing fear about uncertainty,0,0,0,1,0,0,0,0
The thought of failing frightens me,0,0,0,1,0,0,0,0
The thought of what might happen scares me,0,0,0,1,0,0,0,0
